AC_NO,AC_NAME,Candidate,Party,Votes,Margin,Status,Total_Votes_Polled,DISTRICT,GENERAL_SC,Total_Votes_Per_District
21,Dhaka,RANA RANJIT,All India Majlis-E-Ittehadul Muslimeen,5730,-106997,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,SUBODH KUMAR,Independent,1685,-111042,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,MADHUSUDAN KUMAR,Aam Aadmi Party,912,-111815,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,MD SALIM,Independent,495,-112232,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,NAGINA PASWAN,Rashtriya Jansambhavna Party,477,-112250,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,SIKANDAR BHARTI,Bahujan Samaj Party,396,-112331,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,KEDAR RAM,Nayak Yuva Kranti Party,215,-112512,lost,246580,PURVI  CHAMPARAN,GENERAL,2474209
21,Dhaka,NOTA,None of the Above,3047,-109680,,246580,PURVI  CHAMPARAN,GENERAL,2474209
22,Sheohar,SHWETA GUPTA,Janata Dal (United),97269,31398,won,210111,SHEOHAR,GENERAL,210111
22,Sheohar,NAVNEET KUMAR,Rashtriya Janata Dal,65871,-31398,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,MD SHARFUDDIN,Bahujan Samaj Party,16469,-80800,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,NIRAJ SINGH,Jan Suraaj Party,13952,-83317,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,VIJAYCHANDRA JHA,Independent,4466,-92803,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,SANJAY SANGHARSH SINGH,Independent,1489,-95780,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,AMRENDRA KUMAR,Bajjikanchal Vikas Party,1464,-95805,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,PRAKASH KUMAR,Independent,1363,-95906,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,ANISH KUMAR,Independent,1100,-96169,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,PURUSHOTTAM KUMAR,GaribJanta Party Loktantrik,1024,-96245,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,MAMTA KUMARI,Rashtriya Jansambhavna Party,802,-96467,lost,210111,SHEOHAR,GENERAL,210111
22,Sheohar,NOTA,None of the Above,4842,-92427,,210111,SHEOHAR,GENERAL,210111
23,Riga,BAIDYANATH PRASAD,Bharatiya Janata Party,117393,33125,won,216942,SITAMARHI,GENERAL,1663429
